title,preview,link,image
Brian May launches #AmazingGrace campaign to save Britain's Hedgehogs,Dr Brian May’s Save Me Trust and Harper Asprey Wildlife Rescue launch #AmazingGrace campaign to save Britain’s Hedgehogs. Tuesday 26 April.,http://www.music-news.com/news/UK/96936/Brian-May-launches-AmazingGrace-campaign-to-save-Britain-s-Hedgehogs,http://www.music-news.com/images/news/Brian-May.jpg
Boy George: I don’t tend to focus on the past,Boy George covers the brand new issue of FAULT magazine.,http://www.music-news.com/news/UK/96940/Boy-George-I-don-t-tend-to-focus-on-the-past,http://www.music-news.com/images/news/Boy-George.jpg
Bill Murray: 'I love Adele',Bill Murray met Donald Trump at an Adele show.,http://www.music-news.com/news/UK/96960/Bill-Murray-I-love-Adele,http://www.music-news.com/images/news/cover/96960.jpg
Rita Ora and Justin Timberlake post heartfelt tributes to Prince,The singers are shattered after growing close to the pop icon.,http://www.music-news.com/news/UK/96975/Rita-Ora-and-Justin-Timberlake-post-heartfelt-tributes-to-Prince,http://www.music-news.com/images/news/cover/96975.jpg
Will Smith spoke to Prince on eve of his shock death,President Barack Obama joins fans around the world in mourning the icon''s loss.,http://www.music-news.com/news/UK/96974/Will-Smith-spoke-to-Prince-on-eve-of-his-shock-death,http://www.music-news.com/images/news/cover/96974.jpg
Tributes pour in for Prince,Artists around the world have taken to social media to express their shock at the death of another icon.,http://www.music-news.com/news/UK/96973/Tributes-pour-in-for-Prince,http://www.music-news.com/images/news/cover/96973.jpg
Prince dead at 57,The soul icon passed away after a battle with ill health.,http://www.music-news.com/news/UK/96971/Prince-dead-at-57,http://www.music-news.com/images/news/cover/96971.jpg
Lil Wayne: 'Nicki Minaj is better than other rappers - period',The rapper's longtime collaborator and former label boss pays tribute to Nicki Minaj in an essay for TIME Magazine.,http://www.music-news.com/news/UK/96970/Lil-Wayne-Nicki-Minaj-is-better-than-other-rappers-period,http://www.music-news.com/images/news/cover/96970.jpg
Liam Payne denies leaked track is his first solo single,"One Direction star Liam Payne's first solo work has leaked, but the singer insists it's not a single.",http://www.music-news.com/news/UK/96965/Liam-Payne-denies-leaked-track-is-his-first-solo-single,http://www.music-news.com/images/news/cover/96965.jpg
Kanye West 'mentions desire for more children daily',"Kanye West has been mentioning his desire for another child ""every single day"", but wife Kim Kardashian is less than keen on the prospect.",http://www.music-news.com/news/UK/96963/Kanye-West-mentions-desire-for-more-children-daily,http://www.music-news.com/images/news/cover/96963.jpg
Adele is U.K.'s top-earning female musician,The Hello singer's massive wealth of £85 million has seen her top The Sunday Times Young Music Rich List of performers aged 30 and under.,http://www.music-news.com/news/UK/96962/Adele-is-U-K-s-top-earning-female-musician,http://www.music-news.com/images/news/cover/96962.jpg
